단일/복합,DUR성분명,DUR유형,제형,금기 또는 주의내용,비고
단일,롤라티닙 - 타크로리무스,병용금기,,,
단일,롤라티닙 - 엔잘루타마이드,병용금기,,,
단일,롤라티닙 - 시롤리무스,병용금기,,,
단일,보리코나졸 - 톨밥탄,병용금기,,,
단일,보리코나졸 - 리토나비르,병용금기,,,
단일,보리코나졸 - 이바브라딘,병용금기,,,
단일,보리코나졸 - 베네토클락스,병용금기,,,
복합,소포스부비르/벨파타스비르/복실라프레비르 - 아미오다론,병용금기,,,
복합,소포스부비르/벨파타스비르/복실라프레비르 - 리팜피신,병용금기,,,
복합,소포스부비르/벨파타스비르 - 리팜피신,병용금기,,,
복합,소포스부비르/벨파타스비르 - 아미오다론,병용금기,,,
복합,시프로헵타딘/L-리신염산염/코바마미드/카르니틴 - 라사길린,병용금기,,,
복합,시프로헵타딘/L-리신염산염/코바마미드/카르니틴 - 셀레길린염산염,병용금기,,,
복합,시프로헵타딘/카르니틴/L-리신염산염/시아노코발라민 - 셀레길린염산염,병용금기,,,
복합,시프로헵타딘/카르니틴/L-리신염산염/시아노코발라민 - 라사길린,병용금기,,,
단일,이트라코나졸 - 베네토클락스,병용금기,,,
단일,이트라코나졸 - 엘리글루스타트,병용금기,,,
단일,이트라코나졸 - 아픽사반,병용금기,,,
단일,이트라코나졸 - 에독사반,병용금기,,,
단일,카보테그라비르 - 리팜피신,병용금기,,,
단일,카보테그라비르 - 옥스카르바제핀,병용금기,,,
단일,카보테그라비르 - 카르바마제핀,병용금기,,,
단일,카보테그라비르 - 페노바르비탈,병용금기,,,
단일,카보테그라비르 - 페니토인,병용금기,,,
단일,페드라티닙 - 리팜피신,병용금기,,,
단일,페드라티닙 - 페니토인,병용금기,,,
복합,포스네투피탄트/팔로노세트론 - 리팜피신,병용금기,,,
단일,피네레논 - 페노바르비탈,병용금기,,,
단일,피네레논 - 코비시스타트,병용금기,,,
단일,피네레논 - 세인트존스워트,병용금기,,,
단일,피네레논 - 카르바마제핀,병용금기,,,
단일,피네레논 - 리팜피신,병용금기,,,
단일,피네레논 - 리토나비르,병용금기,,,
단일,피네레논 - 이트라코나졸,병용금기,,,
단일,피네레논 - 코비시스타트,병용금기,,,
단일,피네레논 - 클래리트로마이신,병용금기,,,
단일,피네레논 - 코비시스타트,병용금기,,,
단일,피네레논 - 페니토인,병용금기,,,
복합,아크리놀/베르베린/엔테로코쿠스페칼리스/로페라미드,특정연령대금기,"경질캡슐제, 산제",2세 미만,
단일,니푸록사지드,임부금기,"경질캡슐제, 산제,경질캡슐제, 과립제,경구용현탁액제",2등급,
단일,데소게스트렐,임부금기,"필름코팅정,나정",1등급,
단일,도스탈리맙,임부금기,용액주사제,2등급,
단일,라스미디탄,임부금기,필름코팅정,2등급,
단일,롤라티닙,임부금기,필름코팅정,2등급,
단일,루스파터셉트,임부금기,용액용동결건조분말주사제,1등급,
단일,모가물리주맙,임부금기,용액주사제,2등급,
단일,비베그론,임부금기,필름코팅정,2등급,
단일,사람단백질씨,임부금기,용액용동결건조분말주사제,2등급,
복합,소포스부비르/벨파타스비르,임부금기,필름코팅정,2등급,
복합,소포스부비르/벨파타스비르/복실라프레비르,임부금기,필름코팅정,2등급,
단일,에나로두스타트,임부금기,필름코팅정,1등급,
단일,이나보글리플로진,임부금기,"서방성다층정,필름코팅정",2등급,
단일,카보테그라비르,임부금기,"현탁액주사제,필름코팅정",2등급,
단일,트라스투주맙 데룩스테칸,임부금기,용액용동결건조분말주사제,2등급,
단일,페드라티닙,임부금기,"경질캡슐제, 과립제",2등급,
단일,피네레논,임부금기,필름코팅정,2등급,
단일,필고티닙,임부금기,필름코팅정,2등급,
단일,에나로두스타트,용량주의,필름코팅정,8밀리그램,8밀리그램
단일,피네레논,용량주의,필름코팅정,20밀리그램,20밀리그램
단일,라스미디탄,효능군중복,,해열진통소염제,
단일,이나보글리플로진,효능군중복,,당뇨병용제,
단일,피네레논,효능군중복,,혈압강하작용의약품,
단일,게피티니브,수유부주의,필름코팅정,,
단일,겜투주맙 오조가마이신,수유부주의,용액용동결건조분말주사제,,
단일,길테리티닙,수유부주의,필름코팅정,,
단일,네라티닙,수유부주의,필름코팅정,,
단일,니라파립,수유부주의,"필름코팅정,경질캡슐제, 산제",,
단일,니볼루맙(유전자재조합),수유부주의,용액주사제,,
단일,닐로티닙,수유부주의,"경질캡슐제, 과립제,경질캡슐제, 산제",,
단일,다라투무맙,수유부주의,용액주사제,,
단일,다브라페닙,수유부주의,"연질캡슐제, 액상",,
단일,다사티닙,수유부주의,필름코팅정,,
단일,다우노루비신,수유부주의,용액용동결건조분말주사제,,
단일,다카르바진,수유부주의,용액용동결건조분말주사제,,
단일,다코미티닙,수유부주의,필름코팅정,,
단일,닥티노마이신,수유부주의,"용액용동결건조분말주사제,용액용분말주사제",,
단일,더발루맙,수유부주의,용액주사제,,
단일,데시타빈,수유부주의,용액용동결건조분말주사제,,
단일,도세탁셀,수유부주의,"용액주사제,용액용동결건조분말주사제",,
단일,도스탈리맙,수유부주의,용액주사제,,
단일,독소루비신,수유부주의,"현탁액주사제,용액용동결건조분말주사제,용액용분말주사제,용액주사제",,
단일,독시플루리딘,수유부주의,"경질캡슐제, 산제",,
단일,라도티닙,수유부주의,"경질캡슐제, 산제",,
단일,라로트렉티닙,수유부주의,"경구용액제,경질캡슐제, 산제",,
단일,라무시루맙,수유부주의,용액주사제,,
단일,라파티닙,수유부주의,필름코팅정,,
단일,레고라페닙,수유부주의,필름코팅정,,
단일,레이저티닙,수유부주의,필름코팅정,,
단일,레트로졸,수유부주의,필름코팅정,,
단일,렌바티닙,수유부주의,"경질캡슐제, 과립제",,
단일,롤라티닙,수유부주의,필름코팅정,,
단일,룩소리티닙,수유부주의,나정,,
단일,리보시클립,수유부주의,필름코팅정,,
단일,리툭시맙,수유부주의,용액주사제,,
단일,메게스트롤,수유부주의,"경구용현탁액제,나정",,
단일,메드록시프로게스테론,수유부주의,"나정,용액용동결건조분말주사제",,
단일,메르캅토푸린,수유부주의,나정,,
단일,메토트렉세이트,수유부주의,"필름코팅정,나정,용액주사제",,
단일,멜팔란,수유부주의,"필름코팅정,용액용동결건조분말주사제",,
단일,모가물리주맙,수유부주의,용액주사제,,
단일,모보서티닙,수유부주의,"경질캡슐제, 산제",,
단일,미도스타우린,수유부주의,"연질캡슐제, 액상",,
단일,미토마이신씨,수유부주의,용액용동결건조분말주사제,,
단일,미톡산트론,수유부주의,용액주사제,,
단일,반데타닙,수유부주의,필름코팅정,,
단일,베무라페닙,수유부주의,필름코팅정,,
단일,베바시주맙,수유부주의,용액주사제,,
단일,벤다무스틴,수유부주의,용액용동결건조분말주사제,,
단일,벨로테칸,수유부주의,용액용분말주사제,,
단일,보르테조밉,수유부주의,"용액용동결건조분말주사제,용액용분말주사제",,
단일,보리노스타트,수유부주의,젤라틴코팅성경질캡슐제,,
단일,보수티닙,수유부주의,필름코팅정,,
단일,부설판,수유부주의,"용액주사제,나정",,
단일,브렌툭시맙 베도틴,수유부주의,용액용동결건조분말주사제,,
단일,브리가티닙,수유부주의,필름코팅정,,
단일,블레오마이신,수유부주의,용액용동결건조분말주사제,,
단일,블리나투모맙,수유부주의,용액용동결건조분말주사제,,
단일,비노렐빈,수유부주의,"연질캡슐제, 액상,용액주사제",,
단일,빈블라스틴,수유부주의,용액용동결건조분말주사제,,
단일,빈크리스틴,수유부주의,"용액주사제,용액용동결건조분말주사제",,
단일,세리티닙,수유부주의,"경질캡슐제, 산제",,
단일,세미플리맙,수유부주의,용액주사제,,
단일,세툭시맙,수유부주의,용액주사제,,
단일,셀루메티닙,수유부주의,"경질캡슐제, 산제",,
단일,셀퍼카티닙,수유부주의,"경질캡슐제, 산제",,
단일,소라페닙,수유부주의,필름코팅정,,
단일,수니티닙말산염,수유부주의,"경질캡슐제, 과립제",,
단일,시롤리무스,수유부주의,당의정,,
단일,시스플라틴,수유부주의,용액주사제,,
단일,시클로포스파미드,수유부주의,용액용분말주사제,,
단일,시타라빈,수유부주의,용액주사제,,
복합,시프로테론/에티닐에스트라디올,수유부주의,당의정,,
단일,아미반타맙,수유부주의,용액주사제,,
단일,아베마시클립,수유부주의,필름코팅정,,
단일,아벨루맙,수유부주의,용액주사제,,
단일,아자시티딘,수유부주의,"필름코팅정,용액용동결건조분말주사제",,
단일,아칼라브루티닙,수유부주의,"필름코팅정,경질캡슐제, 산제",,
단일,아테졸리주맙,수유부주의,용액주사제,,
단일,아파티닙,수유부주의,필름코팅정,,
단일,알렉티닙,수유부주의,"경질캡슐제, 산제",,
단일,알펠리십,수유부주의,필름코팅정,,
단일,애시미닙,수유부주의,필름코팅정,,
단일,얼다피티닙,수유부주의,필름코팅정,,
단일,에노시타빈,수유부주의,용액용동결건조분말주사제,,
단일,에베로리무스,수유부주의,나정,,
단일,에토포시드,수유부주의,용액주사제,,
단일,에피루비신,수유부주의,"용액용동결건조분말주사제,용액주사제",,
단일,엑시티닙,수유부주의,필름코팅정,,
단일,엔코라페닙,수유부주의,"경질캡슐제, 산제",,
단일,엔트렉티닙,수유부주의,"경질캡슐제, 산제",,
단일,엔포투맙 베도틴,수유부주의,용액용동결건조분말주사제,,
단일,엘로티닙,수유부주의,필름코팅정,,
단일,오비누투주맙,수유부주의,용액주사제,,
단일,오시머티닙,수유부주의,필름코팅정,,
단일,옥살리플라틴,수유부주의,"용액용동결건조분말주사제,용액용분말주사제,용액주사제",,
단일,올라파립,수유부주의,필름코팅정,,
단일,이노투주맙오조가마이신,수유부주의,용액용동결건조분말주사제,,
단일,이다루비신,수유부주의,"용액용분말주사제,용액용동결건조분말주사제",,
단일,이리노테칸,수유부주의,"현탁액주사제,용액주사제",,
단일,이매티닙,수유부주의,필름코팅정,,
단일,이브루티닙,수유부주의,"경질캡슐제, 산제",,
단일,이사툭시맙,수유부주의,용액주사제,,
단일,이포스파마이드,수유부주의,,,
단일,이필리무맙,수유부주의,용액주사제,,
단일,익사조밉,수유부주의,"경질캡슐제, 산제",,
단일,자누브루티닙,수유부주의,"경질캡슐제, 산제",,
단일,젬시타빈,수유부주의,"용액주사제,용액용동결건조분말주사제",,
단일,카르보플라틴,수유부주의,용액주사제,,
단일,카르필조밉,수유부주의,용액용동결건조분말주사제,,
단일,카무스틴,수유부주의,용액용동결건조분말주사제,,
단일,카바지탁셀,수유부주의,용액주사제,,
단일,카보잔티닙,수유부주의,필름코팅정,,
단일,카페시타빈,수유부주의,필름코팅정,,
단일,카프마티닙,수유부주의,필름코팅정,,
단일,크리조티닙,수유부주의,"경질캡슐제, 산제",,
단일,클라드리빈,수유부주의,"나정,용액주사제",,
단일,클로람부실,수유부주의,필름코팅정,,
단일,클로파라빈,수유부주의,용액주사제,,
단일,타목시펜,수유부주의,"필름코팅정,나정",,
단일,탈라조파립,수유부주의,"경질캡슐제, 산제",,
복합,테가푸르/우라실,수유부주의,"경질캡슐제, 산제",,
복합,테가푸르/기메라실/오테라실,수유부주의,"경질캡슐제, 산제",,
단일,테모졸로미드,수유부주의,"경질캡슐제, 산제",,
단일,테포티닙,수유부주의,필름코팅정,,
단일,템시롤리무스,수유부주의,용액주사제,,
단일,토포테칸,수유부주의,용액용동결건조분말주사제,,
단일,트라메티닙,수유부주의,필름코팅정,,
단일,트라벡테딘,수유부주의,용액용동결건조분말주사제,,
단일,트라스투주맙,수유부주의,"용액용분말주사제,용액주사제,용액용동결건조분말주사제",,
단일,트라스투주맙 데룩스테칸,수유부주의,용액용동결건조분말주사제,,
단일,트라스투주맙 엠탄신,수유부주의,용액용동결건조분말주사제,,
복합,트리플루리딘/티피라실,수유부주의,필름코팅정,,
단일,티라브루티닙,수유부주의,필름코팅정,,
단일,파조파닙,수유부주의,필름코팅정,,
단일,파클리탁셀,수유부주의,"용액주사제,경구용액제,현탁액용동결건조분말주사제,용액용동결건조분말주사제",,
단일,팔보시클립,수유부주의,"경질캡슐제, 과립제,경질캡슐제, 산제,필름코팅정",,
단일,퍼투주맙,수유부주의,용액주사제,,
복합,퍼투주맙/트라스투주맙,수유부주의,용액주사제,,
단일,페드라티닙,수유부주의,"경질캡슐제, 과립제",,
단일,페메트렉시드,수유부주의,"용액용동결건조분말주사제,용액주사제,현탁액용동결건조분말주사제",,
단일,펙시다티닙,수유부주의,"경질캡슐제, 산제",,
단일,펨브롤리주맙,수유부주의,용액주사제,,
단일,포나티닙,수유부주의,필름코팅정,,
단일,폴라투주맙 베도틴,수유부주의,용액용동결건조분말주사제,,
단일,풀베스트란트,수유부주의,용액주사제,,
단일,프랄라트렉세이트,수유부주의,용액주사제,,
단일,프랄세티닙,수유부주의,"경질캡슐제, 산제",,
단일,플루다라빈,수유부주의,용액용동결건조분말주사제,,
단일,플루오로우라실,수유부주의,용액주사제,,
단일,헵타플라틴,수유부주의,용액용동결건조분말주사제,,
단일,로바스타틴 - 코비시스타트,병용금기,,,
단일,로바스타틴 - 코비시스타트,병용금기,,,
단일,로바스타틴 - 푸시딘산,병용금기,,,
복합,로수바스타틴/메트포르민 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/암로디핀 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/칸데사르탄실렉세틸 - 레디파스비르,병용금기,,,
복합,로수바스타틴/제미글립틴 - 레디파스비르,병용금기,,,
복합,로수바스타틴/네비보롤 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/메트포르민 - 푸시딘산,병용금기,,,
복합,로수바스타틴/칸데사르탄실렉세틸 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/에제티미브 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/암로디핀/발사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/암로디핀/에제티미브/텔미사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/에제티미브 - 푸시딘산,병용금기,,,
복합,로수바스타틴/텔미사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/암로디핀/피마사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/에제티미브/텔미사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/피마사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/오메가3산에틸에스테르90 - 레디파스비르,병용금기,,,
복합,로수바스타틴/암로디핀/로사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/네비보롤 - 레디파스비르,병용금기,,,
복합,로수바스타틴/암로디핀/발사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/발사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/암로디핀/텔미사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/에제티미브/텔미사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/올메사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/발사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/텔미사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/제미글립틴 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/암로디핀/로사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/발사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/피마사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/암로디핀/올메사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/오메가3산에틸에스테르90 - 푸시딘산,병용금기,,,
복합,로수바스타틴/칸데사르탄실렉세틸 - 푸시딘산,병용금기,,,
복합,로수바스타틴/암로디핀/에제티미브/텔미사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/암로디핀/에제티미브/텔미사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/텔미사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/암로디핀/피마사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/암로디핀/발사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/암로디핀/로사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/오메가3산에틸에스테르90 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/암로디핀/에제티미브/로사르탄 - 사이클로스포린,병용금기,,,
단일,로수바스타틴 - 푸시딘산,병용금기,,,
복합,로수바스타틴/암로디핀/올메사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/메트포르민 - 레디파스비르,병용금기,,,
복합,로수바스타틴/암로디핀/올메사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/암로디핀/에제티미브/로사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/올메사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/에제티미브 - 레디파스비르,병용금기,,,
복합,로수바스타틴/제미글립틴 - 푸시딘산,병용금기,,,
복합,로수바스타틴/네비보롤 - 푸시딘산,병용금기,,,
복합,로수바스타틴/에제티미브/텔미사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/암로디핀/텔미사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/피마사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/암로디핀/피마사르탄 - 사이클로스포린,병용금기,,,
복합,로수바스타틴/암로디핀/에제티미브/로사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/올메사르탄 - 레디파스비르,병용금기,,,
복합,로수바스타틴/암로디핀/텔미사르탄 - 푸시딘산,병용금기,,,
복합,로수바스타틴/암로디핀 - 레디파스비르,병용금기,,,
복합,심바스타틴/암로디핀 - 다루나비르,병용금기,,,
복합,심바스타틴/암로디핀 - 푸시딘산,병용금기,,,
복합,심바스타틴/에제티미브 - 코비시스타트,병용금기,,,
복합,심바스타틴/암로디핀 - 클래리트로마이신,병용금기,,,
복합,심바스타틴/암로디핀 - 사이클로스포린,병용금기,,,
복합,심바스타틴/암로디핀 - 이트라코나졸,병용금기,,,
복합,심바스타틴/암로디핀/암로디핀 - 아타자나비르,병용금기,,,
복합,심바스타틴/에제티미브 - 코비시스타트,병용금기,,,
단일,심바스타틴 - 코비시스타트,병용금기,,,
복합,심바스타틴/암로디핀 - 코비시스타트,병용금기,,,
복합,심바스타틴/암로디핀 - 글레카프레비르,병용금기,,,
복합,심바스타틴/암로디핀 - 코비시스타트,병용금기,,,
복합,심바스타틴/암로디핀 - 코비시스타트,병용금기,,,
복합,심바스타틴/에제티미브 - 사이클로스포린,병용금기,,,
복합,심바스타틴/에제티미브 - 코비시스타트,병용금기,,,
단일,심바스타틴 - 코비시스타트,병용금기,,,
복합,심바스타틴/암로디핀 - 로피나비르,병용금기,,,
복합,심바스타틴/암로디핀 - 니르마트렐비르,병용금기,,,
복합,심바스타틴/암로디핀 - 리토나비르,병용금기,,,
복합,심바스타틴/에제티미브 - 글레카프레비르,병용금기,,,
복합,심바스타틴/에제티미브 - 니르마트렐비르,병용금기,,,
복합,심바스타틴/암로디핀 - 케토코나졸,병용금기,,,
복합,심바스타틴/암로디핀 - 포사코나졸,병용금기,,,
복합,아토르바스타틴/에제티미브 - 포사코나졸,병용금기,,,
복합,아토르바스타틴/피마사르탄 - 사이클로스포린,병용금기,,,
복합,아토르바스타틴/메트포르민 - 포사코나졸,병용금기,,,
복합,아토르바스타틴/암로디핀 - 케토코나졸,병용금기,,,
복합,아토르바스타틴/피마사르탄 - 포사코나졸,병용금기,,,
복합,아토르바스타틴/오메가3산에틸에스테르90 - 케토코나졸,병용금기,,,
복합,아토르바스타틴/에제티미브 - 사이클로스포린,병용금기,,,
복합,아토르바스타틴/피마사르탄 - 글레카프레비르,병용금기,,,
복합,아토르바스타틴/오메가3산에틸에스테르90 - 포사코나졸,병용금기,,,
복합,아토르바스타틴/오메가3산에틸에스테르90 - 글레카프레비르,병용금기,,,
복합,아토르바스타틴/암로디핀/발사르탄 - 이트라코나졸,병용금기,,,
복합,아토르바스타틴/이르베사르탄 - 이트라코나졸,병용금기,,,
복합,아토르바스타틴/메트포르민 - 이트라코나졸,병용금기,,,
복합,아토르바스타틴/암로디핀/발사르탄 - 글레카프레비르,병용금기,,,
복합,아토르바스타틴/피마사르탄 - 푸시딘산,병용금기,,,
복합,아토르바스타틴/암로디핀/칸데사르탄실렉세틸 - 이트라코나졸,병용금기,,,
복합,아토르바스타틴/암로디핀 - 글레카프레비르,병용금기,,,
복합,아토르바스타틴/오메가3산에틸에스테르90 - 푸시딘산,병용금기,,,
복합,아토르바스타틴/메트포르민 - 사이클로스포린,병용금기,,,
복합,아토르바스타틴/메트포르민 - 케토코나졸,병용금기,,,
복합,아토르바스타틴/암로디핀/칸데사르탄실렉세틸 - 사이클로스포린,병용금기,,,
복합,아토르바스타틴/암로디핀 - 포사코나졸,병용금기,,,
복합,아토르바스타틴/이르베사르탄 - 사이클로스포린,병용금기,,,
복합,아토르바스타틴/이르베사르탄 - 케토코나졸,병용금기,,,
복합,아토르바스타틴/메트포르민 - 글레카프레비르,병용금기,,,
복합,아토르바스타틴/암로디핀/발사르탄 - 포사코나졸,병용금기,,,
복합,아토르바스타틴/오메가3산에틸에스테르90 - 이트라코나졸,병용금기,,,
복합,아토르바스타틴/암로디핀/칸데사르탄실렉세틸 - 글레카프레비르,병용금기,,,
복합,아토르바스타틴/암로디핀 - 이트라코나졸,병용금기,,,
복합,아토르바스타틴/에제티미브 - 케토코나졸,병용금기,,,
복합,아토르바스타틴/에제티미브 - 글레카프레비르,병용금기,,,
복합,아토르바스타틴/에제티미브 - 이트라코나졸,병용금기,,,
복합,아토르바스타틴/피마사르탄 - 이트라코나졸,병용금기,,,
복합,아토르바스타틴/암로디핀/발사르탄 - 케토코나졸,병용금기,,,
복합,아토르바스타틴/암로디핀 - 사이클로스포린,병용금기,,,
복합,아토르바스타틴/암로디핀/칸데사르탄실렉세틸 - 푸시딘산,병용금기,,,
복합,아토르바스타틴/이르베사르탄 - 글레카프레비르,병용금기,,,
복합,아토르바스타틴/암로디핀/칸데사르탄실렉세틸 - 케토코나졸,병용금기,,,
복합,아토르바스타틴/암로디핀/발사르탄 - 푸시딘산,병용금기,,,
복합,아토르바스타틴/이르베사르탄 - 포사코나졸,병용금기,,,
복합,아토르바스타틴/메트포르민 - 푸시딘산,병용금기,,,
복합,아토르바스타틴/오메가3산에틸에스테르90 - 사이클로스포린,병용금기,,,
복합,아토르바스타틴/암로디핀/발사르탄 - 사이클로스포린,병용금기,,,
복합,프라바스타틴/페노피브레이트 - 푸시딘산,병용금기,,,
단일,프라바스타틴 - 푸시딘산,병용금기,,,
단일,플루바스타틴 - 푸시딘산,병용금기,,,
복합,피타바스타틴/에제티미브 - 푸시딘산,병용금기,,,
복합,피타바스타틴/페노피브레이트 - 푸시딘산,병용금기,,,
단일,피타바스타틴 - 푸시딘산,병용금기,,,
복합,피타바스타틴/발사르탄 - 사이클로스포린,병용금기,,,
복합,피타바스타틴/페노피브레이트 - 사이클로스포린,병용금기,,,
복합,피타바스타틴/에제티미브 - 사이클로스포린,병용금기,,,
복합,피타바스타틴/발사르탄 - 푸시딘산,병용금기,,,
복합,센나열매가루/차전자피가루/노회가루/후박가루/대황가루,투여기간주의,과립제,7일,
단일,빈크리스틴,용량주의,"용액주사제,용액용동결건조분말주사제",빈크리스틴황산염 주1회 2밀리그램,빈크리스틴황산염 주1회 2밀리그램
복합,비사코딜/센노사이드/도큐세이트나트륨/벤포티아민/천궁건조엑스,투여기간주의,필름코팅정,7일,
단일,비사코딜,투여기간주의,"정제,항문용좌제, 수용성,관장제,장용성당의정",7일,
복합,비사코딜/도큐세이트나트륨/센노사이드칼슘,투여기간주의,장용성필름코팅정,7일,
복합,비사코딜/도큐세이트나트륨/센나엽가루/센나열매가루,투여기간주의,필름코팅정,7일,
복합,비사코딜/우르소데옥시콜산/도큐세이트나트륨,투여기간주의,"연질캡슐제, 현탁상,연질캡슐제, 액상,장용성캡슐제, 펠렛",7일,
복합,비사코딜/도큐세이트나트륨/우르소데옥시콜산/카산트라놀,투여기간주의,장용성필름코팅정,7일,
복합,비사코딜/도큐세이트나트륨/센나엽엑스/벤포티아민/천궁건조엑스,투여기간주의,장용성필름코팅정,7일,
복합,비사코딜/도큐세이트나트륨/우르소데옥시콜산/작약엑스산/피리독신염산염/판토텐산칼슘,투여기간주의,필름코팅정,7일,
복합,비사코딜/우르소데옥시콜산/디메티콘,투여기간주의,"필름코팅정,장용성필름코팅정",7일,
복합,비사코딜/센나열매가루,투여기간주의,필름코팅정,7일,
복합,비사코딜/도큐세이트나트륨/우르소데옥시콜산/감초 가루,투여기간주의,"연질캡슐제, 현탁상",7일,
복합,비사코딜/센나및센나열매메탄올건조엑스 (1000→7),투여기간주의,장용성필름코팅당의정,7일,
복합,비사코딜/도큐세이트나트륨/센나엽가루,투여기간주의,"필름코팅정,장용성필름코팅정",7일,
복합,비사코딜/도큐세이트나트륨,투여기간주의,"장용성당의정,장용성필름코팅정,필름코팅정,장용정,연질캡슐제, 현탁상",7일,
복합,비사코딜/도큐세이트나트륨/우르소데옥시콜산/판토텐산칼슘,투여기간주의,"연질캡슐제, 현탁상",7일,
복합,비사코딜/도큐세이트나트륨/센나엽가루/티니벨리센나열매가루,투여기간주의,장용성필름코팅정,7일,
복합,비사코딜/티니벨리센나열매가루,투여기간주의,장용정,7일,
복합,비사코딜/도큐세이트나트륨/센나열매가루/감초엑스산/작약엑스산,투여기간주의,장용성필름코팅정,7일,
복합,센나열매/차전자피/육계엑스산/감초엑스산/대추엑스산/작약엑스산/생강엑스산/대황가루,투여기간주의,과립제,7일,
복합,센나열매/차전자피,투여기간주의,과립제,7일,
복합,센나열매/차전자피/육계/감초엑스산/작약엑스산/지실엑스산/생강엑스산/대황,투여기간주의,과립제,7일,
복합,센나열매/센나엽/차전자피/진피/후박,투여기간주의,과립제,7일,
